event_id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
130750149,0.999989867,1.75E-08,5.88E-08,1099,1506,47.01791722,433.9103371,188123.5194
130750165,0.998909235,2.16E-06,5.49E-06,185,1243,0.473806364,0.523413309,0.273954441
130750294,0.999999404,1.92E-09,5.83E-09,1099,1506,32.31407243,456.7973325,208629.2594
130750673,0.999922276,3.13E-07,9.32E-07,1099,1506,32.17153007,456.365847,208235.9116
130750779,0.999560893,1.30E-06,7.26E-06,1099,1506,47.80569469,432.7963359,187145.8455
130751098,0.999981284,2.05E-08,7.96E-08,1099,1506,40.05213378,446.7020965,199461.1976
130751147,0.999840617,5.99E-08,2.61E-07,185,1243,0.473221841,0.523396182,0.27392521
130751759,0.998502851,2.24E-07,1.80E-06,185,1243,0.473344881,0.524215495,0.274797452
130751922,0.99999702,3.91E-08,5.46E-08,1099,1506,40.04993304,445.7168912,198582.0937
130752051,0.99999094,4.09E-09,4.24E-08,1099,1506,32.3581208,451.4591546,203779.9891
130752445,0.999993801,5.33E-09,3.00E-08,1099,1506,47.38524145,432.4655289,186866.3378
130753121,0.999998093,2.22E-08,5.63E-08,1099,1506,32.73612575,454.9591331,206951.3745
130753155,0.9995628,7.12E-07,2.00E-06,185,1243,0.475333187,0.521815218,0.27228942
130753661,0.999968648,3.95E-08,1.89E-07,1099,1506,31.78213882,452.2066636,204458.0218
130753785,0.99999404,1.33E-08,2.59E-08,1099,1506,207.4704445,514.2581532,256073.6613
130754034,0.999999046,6.49E-09,3.47E-08,1099,1506,256.9751819,555.4370328,291864.4961
130754182,0.999964833,1.26E-07,5.45E-07,1099,1506,258.3062232,462.8803864,213222.3319
130754796,0.999927402,5.70E-08,5.84E-07,1099,1506,245.7406265,495.0010892,240321.2557
130754895,0.999997497,1.93E-08,7.43E-08,1099,1506,45.75482212,437.304368,191095.7444
130755055,0.999963045,1.08E-07,3.64E-07,185,1243,0.463673443,351.7574774,123732.0055
130755419,0.99998796,1.09E-07,3.45E-07,1099,1506,321.6694049,602.5135286,339068.887
130755825,0.999938488,5.82E-08,2.45E-07,185,1243,0.492327254,557.1720192,310440.4679
130756044,0.999979615,4.56E-08,1.45E-07,1099,1506,299.2099773,512.3917324,247519.8536
130756396,0.999978065,1.22E-08,5.22E-08,1099,1506,138.4639566,436.6321,190352.7516
130756413,0.999886155,5.33E-07,1.16E-06,1099,1506,32.1029391,454.9458286,206941.8963
130756812,0.999982119,1.57E-07,3.73E-07,1099,1506,32.56580739,454.9501124,206943.8529
130756995,0.999909878,2.61E-08,2.23E-07,1099,1506,30.2131204,456.7335415,208578.7421
130757688,0.999851465,1.10E-07,5.64E-07,1099,1506,29.32250296,459.3544942,210983.0867
130757758,0.999997139,7.90E-09,2.01E-08,1099,1506,31.68569351,458.2877412,209995.6937
130757842,0.99998486,8.76E-08,1.73E-07,1099,1506,183.4089761,485.239986,233842.2151
130757974,0.998793602,2.89E-07,1.96E-06,185,1243,0.511293573,542.1436942,293919.2879
130758358,0.999972939,2.13E-07,4.62E-07,1099,1506,32.10979359,452.7933306,204987.7071
130758497,0.999579728,9.15E-08,6.35E-07,185,1243,0.472982075,0.524159698,0.274735384
130758714,0.999985099,9.57E-08,3.84E-07,1099,1506,405.9564396,549.4884487,245171.0767
130759579,0.999937057,1.32E-07,6.04E-07,185,1243,0.492729583,516.9004152,267185.4612
130759992,0.999787509,4.59E-07,1.97E-06,1099,1506,64.72179173,450.923815,203286.5545
130760259,0.998976946,6.23E-08,4.18E-07,185,1243,0.474278368,0.522664724,0.273168872
130760564,0.99999702,1.10E-08,4.34E-08,1099,1506,41.5654874,444.6922962,197656.7509
130760834,0.999987125,1.21E-08,6.15E-08,1099,1506,31.83298143,456.8996347,208724.7644
130760856,0.999990463,5.26E-08,1.17E-07,1099,1506,41.92932851,443.7310319,196799.4277
130760930,0.999996781,2.56E-09,9.93E-09,1099,1506,66.53039576,455.5731302,207500.9627
130822322,0.831078649,0.015386763,0.153310508,2351,1670,1.014642723,2.218807123,3.913941319
130823986,0.999803007,1.45E-07,3.82E-07,1099,1506,0.599963992,817.4824719,668277.5692
130836523,0.999913812,3.74E-08,1.34E-07,1099,1506,0.552932638,832.2171603,692585.3557
130841608,0.999996305,6.73E-09,2.06E-08,1099,1506,0.628020146,467.9540867,218981.0332
130853983,0.999971032,6.97E-08,7.04E-07,236,1873,0.902144525,193.3505083,37384.35154
130856882,0.999997139,2.73E-09,6.42E-09,1099,1506,96.70792715,460.825496,212333.0868
130858397,0.999983072,3.39E-07,1.04E-06,820,1235,0.742753548,264.6579229,70043.32321
130860682,0.999996424,3.86E-09,8.86E-09,1099,1506,0.634858494,470.8442495,221694.2228
130863834,0.999990225,5.27E-09,2.48E-08,1099,1506,0.659752264,450.558744,203003.1572
130865590,0.999973416,4.20E-08,1.33E-07,1099,1506,0.654101007,429.5256137,184492.2179
131127472,0.84536469,0.081722349,0.07196869,896,503,0.763643545,1.811520479,3.244348975
131258298,0.999999523,1.47E-07,4.14E-07,2476,714,0.590759431,0.951644412,0.764001963
131333904,0.999999046,3.92E-08,5.60E-08,1099,1506,0.642893888,466.665253,217776.4435
131334216,0.999974966,2.83E-08,8.31E-08,1099,1506,274.281344,527.2941887,270392.8108
131334822,0.999984264,4.76E-08,7.46E-08,1099,1506,0.644517913,464.8375775,216073.9653
131337245,0.999991536,2.78E-08,5.27E-08,1099,1506,32.4737069,452.9847187,205159.7495
131338491,0.999991059,4.97E-09,2.08E-08,1099,1506,0.645330831,462.7308618,214119.8241
131338684,0.999996305,2.57E-08,4.12E-08,1099,1506,0.653565894,461.9075541,213358.5647
131339782,0.9665519,0.011397266,0.021718312,1574,1785,0.884055548,35.23321139,1241.29386
131343670,0.999947786,7.74E-07,1.35E-05,1864,704,140.8765749,244.5931818,57854.22571
