sample,p_spot,p_track,p_worm,width,length,azwidth,x_coord,y_coord
1MeV_theta_53.1_phi_60.0_highstats,0.20702175796031952,0.700299859046936,0.08933211117982864,0.9148461585174174,13.502921346452887,22.95880941781093,694.0,987.0
1GeV_theta_53.1_phi_90.0_highstats,0.14962902070397832,0.381981806482072,0.368218777361908,0.9324931120382122,10.070249184319133,37.91551532888386,1295.47,978.99
10MeV_theta_53.1_phi_80.0_highstats,0.00930957030504942,0.1699916571378708,0.8187150359153748,0.9239156060697008,4.841786193781834,0.9456287612415244,1765.0,265.0
1GeV_theta_25.8_phi_20.0_highstats,0.030601473408473794,0.70225310632959,0.26513359416276217,0.9348880782680767,7.936732615772318,1642.7695247898698,1291.96,972.33
3.16GeV_theta_0.0_phi_0.0_highstats,0.980126821291633,0.0007995513322936531,0.019060478110724973,0.914564097941345,11.874520627826778,319.16115272540503,1295.43,971.54
3.16MeV_theta_45.6_phi_0.0_highstats,0.11530670523643494,0.6754061579704285,0.19707684218883514,0.9129004817486519,8.376658413962964,69.48434175915959,1591.0,124.0
1MeV_theta_53.1_phi_0.0_highstats,0.04328763112425804,0.17178025841712952,0.7843964099884033,0.9954030262732213,10.422068423517327,78.44458139773072,1336.0,807.0
3.16GeV_theta_36.9_phi_40.0_highstats,0.005712825702411308,0.8338391150831012,0.15596032263245432,0.9679059080873408,6.9819694738555995,3.816950162820653,1289.71,976.39
316MeV_theta_25.8_phi_60.0_highstats,0.06231814941143966,0.6556780470581726,0.27873932879883795,0.9160441529530783,3.824088177188224,1.0513602424018733,1290.1,970.67
10MeV_theta_45.6_phi_60.0_highstats,-0.3333050323559898,0.30559202035268146,-0.3168462648366888,0.913026455514539,7.163777413488053,3.447229093376233,1469.3333333333333,610.0
1MeV_theta_0.0_phi_0.0_highstats,0.974140465259552,0.01116372924298048,0.014656067825853825,1.0143431183443914,917.6189026861488,103335.1423485097,283.0,1261.0
3.16MeV_theta_25.8_phi_0.0_highstats,0.026671197643736377,0.7120863199234009,0.2555851439634959,0.9241468362133484,3.733817031086675,9.86960217372468,1511.6666666666667,811.6666666666666
316MeV_theta_72.5_phi_0.0_highstats,0.07969670721826164,0.6900001473244178,0.18465398022930196,1.0151435321736018,39.728965083415524,2094.767204343184,1319.2371134020618,967.7319587628866
316MeV_theta_60.0_phi_60.0_highstats,0.07568340054249248,0.6985643918765709,0.20371701583848334,1.0033599417867973,18.371918270330152,149.24358290185762,1290.28,980.65
31.6MeV_theta_36.9_phi_60.0_highstats,0.0001295617576369161,0.8033164025173897,0.1964866746772043,1.4414016705986137,12.022643022430588,160.2538960299706,1320.2323232323233,953.10101010101
1GeV_theta_53.1_phi_10.0_highstats,0.051569121829229514,0.701312108617276,0.22300083885900676,1.1427720911059864,18.872931188472325,634.7826079924066,1282.95,965.04
3.16GeV_theta_36.9_phi_70.0_highstats,0.05609627772389217,0.5554845106619177,0.35647281173616646,0.9209312545930185,6.614462392492956,6.266048524115835,1293.36,976.32
316MeV_theta_60.0_phi_70.0_highstats,0.09592390377522429,0.5692687492883491,0.278518011085007,1.0312418778575017,13.699700450056994,19.689236023269057,1293.1919191919192,996.8585858585859
10GeV_theta_60.0_phi_30.0_highstats,0.05147163237304432,0.7868153163606985,0.13771176349142478,0.9539509656890948,15.910759855763427,146.07646665318407,1280.88,979.89
10MeV_theta_45.6_phi_70.0_highstats,2.2824575353297405e-05,0.9911302328109741,0.008011549711227417,0.9295509411570378,10.016655731822995,21.263637184939988,581.0,1062.0
31.6MeV_theta_66.4_phi_10.0_highstats,-0.06428867778791471,0.5467800004461606,0.11745562394498847,1.3799868760058922,18.0676095271322,153.10244015563546,1524.8,893.08
