,event id,p_spot,p_track,p_worm,x_coord,y_coord,width,length,azwidth
74,77,0.007352460175752641,0.3641960918903351,0.6166590452194214,1271,1406,0.8547934747305606,40.43504168972271,893.636417454368
75,78,0.04280933737754822,0.30194297432899475,0.6401515007019043,1345,1218,0.9546393164243632,37.7951161064183,640.4587579570039
76,79,0.7244022488594055,0.009169859811663628,0.2661723792552948,1318,694,0.9000946320520071,41.97992175981632,410.59926512066016
77,80,0.0253906287252903,0.04327869787812233,0.931222438812256,1251,867,1.4014449953556722,34.94401325709693,430.4996527886322
78,81,0.0440220907330513,0.2596186399459839,0.6337437629699707,1401,1334,0.9095718872623804,39.08926979475707,700.0109273650223
79,82,0.00033714680466800934,0.9045835733413696,0.05676692351698875,1202,1223,0.8820857115819271,35.059444645810736,595.2476317623543
80,83,0.08318597078323364,0.0041523417457938186,0.9126440286636353,1218,1230,1.1958669082119235,32.12115703701926,531.5854573838835
81,84,0.18652483820915225,0.7429348230361938,0.0693395584821701,1274,768,0.8623533204448858,40.64011671112996,388.1732365581795
82,85,0.00014400121290236712,0.7907188534736633,0.20826968550682068,1402,1201,0.8555165855040029,39.33608446380767,641.338673812518
83,86,0.0073998519219458095,0.7079051733016968,0.2581712305545807,1354,950,0.9150550254816756,41.596078726943404,528.3513278882375
84,87,0.022936925292015086,0.18884456157684326,0.7709870934486389,1422,1422,0.9467589058670638,40.609421161260855,860.0920374034348
85,88,0.5258281230926514,0.34747210144996643,0.11212077736854552,1339,1072,0.9047565895930504,37.62450955239852,514.5453086206868
86,89,0.0014135678065940738,0.8264205455780029,0.1332833468914032,1219,715,0.8589255897690098,36.21775432721407,300.8836656813348
87,90,0.19064532220363611,0.2879733145236969,0.5049655437469482,1388,1010,0.895216890276843,37.11202761146803,446.994643017244
88,91,0.0449710488319397,0.2734974324703217,0.6461625099182129,1322,948,0.8672128350248657,34.70034680658072,380.62001851906035
89,92,0.00010890087287407368,0.9672654867172241,0.02991396188735962,1302,1457,0.8751066146470051,42.19237036844982,957.634201247681
90,93,0.4362326264381409,0.008548911660909653,0.5548419356346129,1392,1162,11.648117598196588,85.86364675320709,3665.875601868234
91,94,0.09915778040885924,0.007068504113703965,0.8937498331069946,1306,1293,1.0108513690924372,41.725592415396974,880.9059780029364
92,95,0.02012140676379204,0.3756921589374542,0.3809875249862671,1286,1190,0.9155269565036936,37.53583913378901,650.6216992704602
93,96,1.3048387925707061e-09,8.271532351500355e-06,0.999991774559021,1344,1402,3.772160627001026,123.69122971666513,6143.962141585742
