event_id,p_noise,p_spot,p_track,p_worm,x_coord,y_coord
510436239,./irradiation_images/Track/510436239.jpg,4.415337073737646e-08,1.412051801708003e-06,0.9968748092651367,0.0031237301882356405,3112,121
510427829,./irradiation_images/Spot/510427829.jpg,0.00013445582590065897,0.9843653440475464,0.008643228560686111,0.006856926716864109,2814,151
510439610,./irradiation_images/Worm/510439610.jpg,0.0002147866180166602,0.07924382388591766,0.022079389542341232,0.8984620571136475,2430,2290
510440559,./irradiation_images/Worm/510440559.jpg,0.0006746874423697591,0.002883311128243804,0.13918253779411316,0.8572594523429871,799,408
510465094,./irradiation_images/Track/510465094.jpg,1.7107980966102332e-05,6.0580941863008775e-06,0.9874066710472107,0.01257026195526123,54,244
510467689,./irradiation_images/Worm/510467689.jpg,1.3211805480750627e-06,0.00032778060995042324,0.0012845814926549792,0.9983863830566406,1564,388
510462591,./irradiation_images/Track/510462591.jpg,0.00013462199422065169,0.00037425413029268384,0.8448381423950195,0.15465301275253296,197,754
510465310,./irradiation_images/Track/510465310.jpg,8.284618324694293e-09,7.944296775974635e-09,0.9996629953384399,0.0003369564947206527,334,1979
510427853,./irradiation_images/Spot/510427853.jpg,2.1096442992529774e-07,0.999964714050293,1.7572843717061915e-05,1.7480428141425364e-05,1420,1794
510454047,./irradiation_images/Worm/510454047.jpg,0.00017134541121777147,0.0005751514108851552,0.14392270147800446,0.855330765247345,1110,2408
510434357,./irradiation_images/Track/510434357.jpg,0.0006683621904812753,0.000485353812109679,0.8445881009101868,0.15425819158554077,2393,1206
510444334,./irradiation_images/Worm/510444334.jpg,8.387567973500154e-09,1.4065857101286383e-07,0.0031055237632244825,0.996894359588623,2136,1378
510177919,./irradiation_images/Worm/510177919.jpg,1.3043713806837332e-05,0.0009292285540141165,0.019593482837080956,0.9794642925262451,471,76
510463040,./irradiation_images/Track/510463040.jpg,0.00017087800370063633,0.00036123782047070563,0.8946859836578369,0.10478194802999496,448,460
510177911,./irradiation_images/Track/510177911.jpg,2.3039552615955472e-05,1.2942148714500945e-05,0.9839959740638733,0.015968047082424164,901,1447
510464986,./irradiation_images/Track/510464986.jpg,8.82773965713568e-05,4.8605546908220276e-05,0.9294282793998718,0.07043478637933731,1919,875
510177971,./irradiation_images/Spot/510177971.jpg,1.7800606656237505e-05,0.9988670349121094,0.0003571905253920704,0.0007579802768304944,2835,214
510177871,./irradiation_images/Track/510177871.jpg,1.9372766473679803e-05,2.8312942959018983e-05,0.9027015566825867,0.09725074470043182,662,773
510436347,./irradiation_images/Track/510436347.jpg,7.271909453265835e-06,9.600206567483838e-07,0.9848681092262268,0.01512371376156807,3109,2104
510468315,./irradiation_images/Worm/510468315.jpg,0.00029548906604759395,0.020939460024237633,0.06048670411109924,0.9182783961296082,2516,1368
510428031,./irradiation_images/Worm/510428031.jpg,0.0020496565848588943,0.005441425833851099,0.14889320731163025,0.8436156511306763,758,1730
510467468,./irradiation_images/Worm/510467468.jpg,2.4206299258366926e-06,6.111241964390501e-05,0.10513380169868469,0.8948026299476624,2444,293
510437111,./irradiation_images/Track/510437111.jpg,2.526938715163851e-06,4.155371016167919e-07,0.9958773851394653,0.004119712859392166,2802,1023
510427959,./irradiation_images/Track/510427959.jpg,3.01433260574413e-08,3.124151248812268e-07,0.996654748916626,0.0033449144102633,3019,2223
510468490,./irradiation_images/Worm/510468490.jpg,6.717231826769421e-06,7.70277256378904e-05,0.033735163509845734,0.9661811590194702,320,1673
510455575,./irradiation_images/Worm/510455575.jpg,8.00591897132108e-06,0.000465749588329345,0.0009185004746541381,0.9986078143119812,412,1131
510467972,./irradiation_images/Track/510467972.jpg,6.0747654060833156e-05,0.00037498853635042906,0.9199157953262329,0.07964848726987839,2140,852
510468395,./irradiation_images/Worm/510468395.jpg,0.00013581255916506052,0.006998773198574781,0.03317849710583687,0.9596869349479675,3028,1129
