,Unnamed: 0,Unnamed: 0.1,azwidth,event id,length,p_spot,p_track,p_worm,width,x_coord,y_coord
6344,14,,0.2502652016549565,15,0.5003356034197037,0.9999997615814208,1.1248621945014749e-07,1.475479223245202e-07,0.4933045745483698,,
6345,15,,0.4546954739587462,16,0.6758507337661611,0.9999985694885254,7.247381290653719e-07,7.482338446607173e-07,0.6319403424458352,,
6346,16,,0.4832381604911105,17,0.6975872514156899,0.9999985694885254,5.666367997037014e-07,8.513595162185085e-07,0.6951511913200906,,
6347,17,,0.2278493889570889,18,0.5222947012256993,0.9999997615814208,6.950606490363497e-08,8.708440901727954e-08,0.4763681618049565,,
6348,18,,0.5804701481127708,19,0.7698228941368314,0.9999995231628418,2.358069224328573e-07,2.565789714026323e-07,0.6923873933623315,,
6349,19,,0.3504481638628375,20,0.6865701589887001,0.9999998807907104,5.52072414450322e-08,8.165344667077079e-08,0.5885753397794928,,
6350,20,,0.4139425161799631,21,0.6495826637229623,0.9999977350234984,7.048251973174047e-07,1.589769567544863e-06,0.6433834171730353,,
6351,21,,0.4111419720409468,22,0.6773067750644751,0.9999997615814208,1.1530386245794945e-07,1.1803911803554001e-07,0.6266601489527972,,
6352,22,,0.4438748827674322,23,0.7755762059104717,0.9999991655349731,3.316554000321048e-07,4.371418356186041e-07,0.6167867694017346,,
6353,23,,0.481796274822767,24,0.7579528437795698,0.9999986886978148,4.981228585165811e-07,8.566174756197142e-07,0.6738565564511636,,
6354,24,,0.3555235878873786,25,0.6122656808104687,0.9999988079071044,6.271841925808985e-07,6.173381166263425e-07,0.5544291868378839,,
6355,25,,0.41162428124336936,26,0.6733767736934232,0.9999986886978148,5.45390491879516e-07,7.255908940351219e-07,0.589720589776088,,
6356,26,,0.3613722582532257,27,0.6204871136453552,1.0,3.455803110341549e-08,4.4190446857328425e-08,0.5759610028036231,,
6357,27,,0.43731649078060336,28,0.6639811159726273,0.9999996423721312,1.1975579639056375e-07,1.837880319044416e-07,0.5850155523424436,,
6358,28,,0.4529698641753985,29,0.6748825303639483,0.9999996423721312,1.7264382279336132e-07,2.484293588622677e-07,0.6410415212538317,,
6359,29,,0.5257085490710829,30,0.7449314999934955,0.999998927116394,4.1222105551241844e-07,7.420736665153527e-07,0.683914412879021,,
6360,30,,0.4573328977017007,31,0.6842439967514612,0.9999991655349731,3.1623159202354145e-07,4.97249288855528e-07,0.6581368344745372,,
6361,31,,0.4839885148755028,32,0.7323246190881304,0.9999990463256836,4.782774567502202e-07,5.18192734944023e-07,0.6457496766815383,,
6362,32,,0.5223712652068117,33,0.7947293064512742,0.9999982118606568,8.099860906440881e-07,9.164402285932738e-07,0.6608359867086897,,
6363,33,,0.35019680432262457,34,0.6580956990802745,0.9999998807907104,4.607839798609348e-08,6.311807965175831e-08,0.5892645805464646,,
6364,34,,0.5561474174641001,35,0.7517725776191522,0.9999983310699464,7.31469867787382e-07,9.810783012653699e-07,0.7452598709864169,,
6365,35,,0.4324705187472251,36,0.7040272275896476,0.9999998807907104,4.3800994831144635e-08,6.522122930618932e-08,0.56771115727703,,
6366,36,,0.3508470667721705,37,0.6207783826430602,1.0,2.6839181543891755e-08,2.5197357089723482e-08,0.4424530159301489,,
6367,37,,0.5878060596977436,38,0.8116570573846547,0.9999985694885254,5.150541255716234e-07,9.310340374213414e-07,0.6601506279213526,,
6368,38,,0.5183682413256587,39,0.7270629932448047,0.9999986886978148,6.191835950630775e-07,6.827388006058754e-07,0.6656287704554104,,
6369,39,,0.2938986563450361,40,0.5934665126657984,0.9999996423721312,1.2912101965412148e-07,2.0547568624351692e-07,0.541418312658654,,
6370,40,,0.3694273795136098,41,0.6207459623945201,0.9999997615814208,9.240095266704883e-08,1.1631497898179073e-07,0.5821339942727856,,
6371,41,,0.5517647014330828,42,0.7706739086038304,0.9999988079071044,5.52297478861874e-07,5.527453481590783e-07,0.6563511112054154,,
6372,42,,0.4020411615875514,43,0.6342345526077546,1.0,3.284412386506118e-08,3.3746356820074646e-08,0.6025368826147619,,
6373,43,,0.38634291168363616,44,0.8334330356302475,0.9999990463256836,3.6690568094854825e-07,5.832040415043593e-07,0.6148194801923065,,
6374,44,,0.42583441035306496,45,0.7649450838499967,0.9999992847442628,3.243535502406303e-07,3.965060386690311e-07,0.6460129065895875,,
6375,45,,0.40172294834208105,46,0.6457104102043332,0.9999992847442628,2.598750938886951e-07,4.4134463905720617e-07,0.6294608673630344,,
6376,46,,0.4658086898603401,47,0.6878678266590907,0.9999996423721312,1.570001160189349e-07,2.7232530896981194e-07,0.6070222051719051,,
6377,47,,0.3880170009543907,48,0.6230105815308222,0.9999997615814208,9.516221410876824e-08,1.7027177534600926e-07,0.6065341812205303,,
6378,48,,0.4563561477004893,49,0.7012636084534214,0.9999983310699464,7.844892024877481e-07,7.775191761538738e-07,0.6747946783107409,,
6379,49,,0.5441355256381402,50,0.7708219675609693,0.9999982118606568,7.904715175754974e-07,9.570837846695213e-07,0.6718800737827639,,
6380,50,,0.3812771722383865,51,0.6591181907966894,0.9999998807907104,4.9405873170371706e-08,6.26959675287253e-08,0.6074704029677632,,
6381,51,,0.4230831572237195,52,0.6898782507789379,0.9999991655349731,3.993201858065731e-07,4.279082190805639e-07,0.6089823490244457,,
6382,52,,0.3460658658139368,53,0.6187154193338512,0.9999997615814208,6.10098496167666e-08,9.206705442466043e-08,0.5672504442186767,,
6383,53,,0.4254390605024984,54,0.6813992604265551,0.999998927116394,4.461489027107745e-07,6.460074359893042e-07,0.6466352962997073,,
6384,54,,0.5066885989632589,55,0.7433783928159244,0.9999986886978148,5.196733354750904e-07,8.117480092550977e-07,0.7106765530309649,,
6385,55,,0.5662413298030498,56,0.7598515621409807,0.9999992847442628,3.631980973750615e-07,3.984035004123143e-07,0.6590283107081224,,
6386,56,,282211.87367689324,57,531.4148086345047,0.9999996423721312,1.3957861710878205e-07,2.079862184700687e-07,0.6596156469169249,,
6387,57,,0.4498180306390112,58,0.6828602684821607,0.9999997615814208,1.1980537806266514e-07,1.575980803636412e-07,0.6154617075152131,,
6388,58,,0.4535504482839034,59,0.6954946989910955,0.9999994039535522,2.3863839260229724e-07,3.6981910511713073e-07,0.6728227391061399,,
6389,59,,0.4698477107782215,60,0.6856844136639315,0.9999994039535522,2.1798093996494564e-07,3.0191128530532296e-07,0.5852234731036466,,
6390,60,,0.35555293766628393,61,0.6523574892982119,0.9999996423721312,1.5609181502895805e-07,2.029662340419236e-07,0.4991173111867049,,
6391,61,,0.5773585278249139,62,0.7608002370883502,0.9999988079071044,5.857339147041787e-07,6.277754209804698e-07,0.6974564663785398,,
6392,62,,0.5616452681637161,63,0.7497847328057008,0.9999666213989258,1.3202824447944295e-05,2.0165261958027265e-05,0.6972553983558302,,
6393,63,,0.6821190945559237,64,0.8277799909744427,0.999997854232788,6.84611450196826e-07,1.3955449276181749e-06,0.7605798746367316,,
6394,64,,0.2601599514876476,65,0.6663080501812639,1.0,1.3367190021540413e-08,1.6218537624013152e-08,0.503878204610433,,
6395,65,,0.4111741372541002,66,0.6652691027543552,0.9999995231628418,2.833447467764927e-07,2.475844667060301e-07,0.5783953439515962,,
6396,66,,0.4099314529128885,67,0.7232534535905893,0.9999998807907104,4.875861492337208e-08,7.993495643177084e-08,0.6401957450217849,,
6397,67,,0.3928848660019641,68,0.6469327242397469,0.9999997615814208,1.4358928979163466e-07,1.4413025439807825e-07,0.5989028554193967,,
6398,68,,0.5431829526731932,69,0.7838340092639065,0.9999992847442628,2.7334829155734036e-07,4.83572591747361e-07,0.6800932349640375,,
6399,69,,0.4077618712267404,70,0.6547810954917032,0.9999997615814208,7.834670867623572e-08,1.3546177513035213e-07,0.6286885123429764,,
6400,70,,0.3273271482644555,71,0.5921104733350305,0.9999997615814208,1.1483024309200116e-07,1.0692581753346528e-07,0.5681821467724076,,
6401,71,,0.3746850821417936,72,0.6240178212301055,0.9999997615814208,7.590350747932463e-08,9.324332239657454e-08,0.5937333325959527,,
6402,72,,0.3971404456251126,73,0.6644740738103947,0.9999988079071044,4.606097547821264e-07,7.044744734230334e-07,0.6145819837401977,,
6403,73,,0.44885323062289467,74,0.7385398449591573,0.9999986886978148,5.695554250451097e-07,6.935849796718685e-07,0.6419444370021183,,
6404,74,,0.2563408419072681,75,0.5065627110672076,0.9999996423721312,1.6635294741718099e-07,1.8095747122970351e-07,0.4931889978300241,,
6405,75,,0.3744406882125633,76,0.6440791098295884,0.9999997615814208,8.737124090885116e-08,1.0142318984662779e-07,0.5882262082360515,,
6406,76,,0.4832169342726349,77,0.7083602590512242,0.9999988079071044,4.669058455419872e-07,7.479742976101987e-07,0.6079481704566999,,
6407,77,,0.3887996172718901,78,0.6681863541059466,1.0,5.122740986962526e-08,5.8084808074454486e-08,0.6085016379830377,,
6408,78,,0.4101515027269851,79,0.6466693016406868,0.9999996423721312,1.7259608853237296e-07,2.310423496965086e-07,0.5735059857364612,,
6409,79,,0.30077412245183904,80,0.6666217218726035,0.9999996423721312,1.4100886858159356e-07,2.607463045478653e-07,0.5482735308075827,,
6410,80,,0.33892817677634834,81,0.6946423932848271,0.9999995231628418,1.9269600670668297e-07,2.3118469982819081e-07,0.5759811066989206,,
6411,81,,0.6258648531752202,82,0.7955987237963381,0.9999995231628418,2.0542941570056428e-07,2.646120833560417e-07,0.7275265718225931,,
6412,82,,0.4096590695431319,83,0.6452413241272734,0.9999996423721312,1.7785356476451852e-07,1.8903725162999765e-07,0.6076208213802425,,
6413,83,,1.2521159044421346,84,1.1619895365361557,0.9995112419128418,0.00011924833961529656,0.00036096473922953015,0.8261121184097445,,
6414,84,,6713.633936910837,85,147.68228123863432,0.9999991655349731,3.281399187926581e-07,5.051646212450578e-07,0.7172931766641519,,
6415,85,,0.4978982038625568,86,0.7687176645618473,0.9999988079071044,5.398288180913369e-07,6.546808890561807e-07,0.7036583730691893,,
6416,86,,0.38043636925097135,87,0.6399577528286319,0.9999997615814208,7.547014035935717e-08,1.0412049533670142e-07,0.5996452604214879,,
